feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV3	GHAT_Length	GHAT_Length	-1.3524366653471	0.467320845714343	25	24	0.00818461383164452	0.401046077750581
ASV2	GHAT_Length	GHAT_Length	-0.517553388837015	0.752182606617416	25	11	0.498290918425746	0.797411462418389
ASV6	GHAT_Length	GHAT_Length	1.29266736864705	0.627730047000469	25	7	0.0509640218198369	0.797411462418389
ASV10	GHAT_Length	GHAT_Length	-0.659427359466033	0.496243430414297	25	22	0.196934758292716	0.797411462418389
ASV12	GHAT_Length	GHAT_Length	0.338055315394913	0.479159513952421	25	25	0.487573074278088	0.797411462418389
ASV15	GHAT_Length	GHAT_Length	0.938976574097105	0.635994496859793	25	13	0.153400278238641	0.797411462418389
ASV17	GHAT_Length	GHAT_Length	-0.732917801514194	0.425671798302358	25	18	0.098531728484189	0.797411462418389
ASV21	GHAT_Length	GHAT_Length	-0.630160553206733	0.658004768063859	25	13	0.348181518765016	0.797411462418389
ASV23	GHAT_Length	GHAT_Length	-0.841583616752571	0.755924787028089	25	20	0.277072927208602	0.797411462418389
ASV24	GHAT_Length	GHAT_Length	-0.317440237624841	0.324239944666444	25	25	0.337752165398609	0.797411462418389
ASV27	GHAT_Length	GHAT_Length	-0.32549270359939	0.438954691862438	25	4	0.465884299439908	0.797411462418389
ASV29	GHAT_Length	GHAT_Length	-0.599155072557768	0.591951587763391	25	14	0.321987490291368	0.797411462418389
ASV31	GHAT_Length	GHAT_Length	-0.524212699827745	0.466642580302664	25	19	0.272869361056318	0.797411462418389
ASV32	GHAT_Length	GHAT_Length	-0.497535788835828	0.75175139347298	25	13	0.514653480271359	0.797411462418389
ASV34	GHAT_Length	GHAT_Length	-0.80698626575709	0.558646950799504	25	23	0.16207421096568	0.797411462418389
ASV36	GHAT_Length	GHAT_Length	-0.583811121818367	0.4683963766568	25	22	0.225161825219525	0.797411462418389
ASV39	GHAT_Length	GHAT_Length	-0.523129601356136	0.458825927332366	25	14	0.265958880354201	0.797411462418389
ASV40	GHAT_Length	GHAT_Length	-0.683904763471333	0.656646890764662	25	19	0.308463419831953	0.797411462418389
ASV46	GHAT_Length	GHAT_Length	-0.300387190452319	0.358608091740649	25	18	0.410848944130236	0.797411462418389
ASV47	GHAT_Length	GHAT_Length	-0.453488878013975	0.695357153316867	25	16	0.520758506069152	0.797411462418389
ASV57	GHAT_Length	GHAT_Length	-0.61337191063235	0.455038027282414	25	13	0.190799505682385	0.797411462418389
ASV62	GHAT_Length	GHAT_Length	-0.486599712016664	0.428833156844892	25	14	0.268186166162304	0.797411462418389
ASV64	GHAT_Length	GHAT_Length	-0.238014900850535	0.290988880650954	25	8	0.4217781330018	0.797411462418389
ASV66	GHAT_Length	GHAT_Length	0.462526430788731	0.610668494674417	25	16	0.456494425324326	0.797411462418389
ASV73	GHAT_Length	GHAT_Length	1.01000036471099	0.488456601691114	25	17	0.0500937195044548	0.797411462418389
ASV74	GHAT_Length	GHAT_Length	-0.875746490537121	0.791510168085715	25	11	0.27998134227951	0.797411462418389
ASV76	GHAT_Length	GHAT_Length	-0.276564478923347	0.362339332744566	25	12	0.453058082993351	0.797411462418389
ASV83	GHAT_Length	GHAT_Length	-0.37703127182494	0.394124969064283	25	13	0.348702674083685	0.797411462418389
ASV91	GHAT_Length	GHAT_Length	0.537111373303479	0.565934312722256	25	8	0.352451477212843	0.797411462418389
ASV92	GHAT_Length	GHAT_Length	-0.354537044901007	0.482269962996956	25	8	0.469683166570556	0.797411462418389
ASV97	GHAT_Length	GHAT_Length	-0.495547935119338	0.476649694405278	25	10	0.309309860946313	0.797411462418389
ASV102	GHAT_Length	GHAT_Length	-0.471551629314245	0.657154035198985	25	9	0.480249917003051	0.797411462418389
ASV4	GHAT_Length	GHAT_Length	-0.343805011326961	0.783664482530756	25	12	0.664961920492748	0.825128680929208
ASV7	GHAT_Length	GHAT_Length	-0.29460932086683	0.609101429122245	25	12	0.63318710162461	0.825128680929208
ASV14	GHAT_Length	GHAT_Length	0.303795299066775	0.751006404397943	25	10	0.689569416171472	0.825128680929208
ASV18	GHAT_Length	GHAT_Length	0.29782680456839	0.544793237310812	25	17	0.589864433795189	0.825128680929208
ASV45	GHAT_Length	GHAT_Length	0.139068727830181	0.344781651107527	25	9	0.690413794246889	0.825128680929208
ASV49	GHAT_Length	GHAT_Length	0.164786693855786	0.371503186782848	25	5	0.661500092548027	0.825128680929208
ASV54	GHAT_Length	GHAT_Length	-0.298951152320628	0.556383975804267	25	12	0.596213560328616	0.825128680929208
ASV104	GHAT_Length	GHAT_Length	-0.277798797469207	0.616614623191518	25	14	0.656551965632612	0.825128680929208
ASV144	GHAT_Length	GHAT_Length	0.201445580226711	0.352209452255781	25	7	0.572905201958069	0.825128680929208
ASV48	GHAT_Length	GHAT_Length	-0.21992545377267	0.739273775058351	25	17	0.768764007885631	0.896891342533236
ASV11	GHAT_Length	GHAT_Length	-0.136125709071705	0.637335780163011	25	13	0.832752285213504	0.906774710565815
ASV70	GHAT_Length	GHAT_Length	0.0408915717547199	0.183963422427529	25	3	0.826057127505958	0.906774710565815
ASV116	GHAT_Length	GHAT_Length	-0.0663519292637609	0.267633958792074	25	6	0.806395972975938	0.906774710565815
ASV25	GHAT_Length	GHAT_Length	-0.0290998635272663	0.375808238437612	25	23	0.938948973381235	0.958510410326677
ASV28	GHAT_Length	GHAT_Length	-0.0439441792136056	0.408002051118126	25	6	0.915163133212099	0.958510410326677
ASV35	GHAT_Length	GHAT_Length	-0.0423755325178353	0.445455087564849	25	6	0.925036611617112	0.958510410326677
ASV9	GHAT_Length	GHAT_Length	0.0220473889917857	0.720950246456609	25	15	0.975867506737866	0.975867506737866
